total_num_groups 273
new_group 67
20550 -117.023 32.7696
20565 -117.125 32.7698
20543 -117.129 32.773
20537 -117.108 32.7746
20542 -117.133 32.7766
20524 -117.108 32.778
20701 -116.89 32.7784
20551 -117.012 32.7796
20513 -117.108 32.7813
20700 -116.891 32.7832
20541 -117.139 32.785
20552 -117.001 32.786
20512 -117.139 32.7865
20699 -116.888 32.7869
20698 -116.881 32.7871
20514 -117.109 32.7871
20553 -116.979 32.7872
20506 -117.093 32.7907
20471 -117.11 32.7948
20470 -117.111 32.7962
20511 -117.138 32.7967
20469 -117.111 32.7976
20505 -117.066 32.8044
20510 -117.139 32.8054
20504 -117.061 32.809
20468 -117.111 32.8092
20467 -117.114 32.8168
20503 -117.048 32.8222
20361 -117.138 32.8288
20502 -117.038 32.8309
20355 -117.136 32.8314
20501 -117.034 32.8332
20499 -116.998 32.8338
20347 -117.135 32.8338
20500 -117.027 32.8343
20360 -117.12 32.843
20327 -117.122 32.844
20326 -117.123 32.8446
20321 -117.128 32.8479
20320 -117.124 32.8533
new_group 68
20362 -116.602 32.839
20366 -116.692 32.8393
20375 -116.796 32.8431
20380 -116.873 32.8475
20295 -116.592 32.852
20379 -116.86 32.8521
20398 -116.583 32.8533
20378 -116.833 32.8561
20376 -116.815 32.8569
20377 -116.827 32.857
20296 -116.59 32.8621
20297 -116.584 32.8769
20300 -116.578 32.9
20307 -116.579 32.964
20308 -116.578 32.9688
20309 -116.587 32.9814
20310 -116.591 32.9845
20311 -116.591 32.9906
20312 -116.588 32.9922
20313 -116.579 32.9931
20757 -116.454 33.0133
20758 -116.443 33.0139
20759 -116.44 33.0157
20760 -116.427 33.0158
20761 -116.421 33.0206
20762 -116.414 33.0343
20096 -116.872 33.0393
20763 -116.415 33.0448
20091 -116.872 33.045
20067 -116.872 33.0456
20097 -116.86 33.0456
20061 -116.833 33.0471
20063 -116.851 33.0472
20060 -116.828 33.0472
20064 -116.856 33.0475
20062 -116.84 33.0478
20059 -116.825 33.0483
20058 -116.824 33.0497
20057 -116.823 33.0506
20068 -116.872 33.0531
20056 -116.822 33.0545
20055 -116.819 33.0576
20054 -116.815 33.061
20764 -116.429 33.0619
20069 -116.874 33.063
20043 -116.731 33.0638
20044 -116.737 33.0639
20047 -116.759 33.0641
20046 -116.754 33.0645
20042 -116.728 33.0649
20045 -116.748 33.0661
20048 -116.766 33.0667
20041 -116.722 33.0699
20053 -116.809 33.0699
20052 -116.805 33.0724
20040 -116.719 33.0758
20051 -116.798 33.0794
20049 -116.786 33.0795
20039 -116.715 33.0802
20050 -116.793 33.0817
20765 -116.441 33.0829
20038 -116.709 33.0844
20766 -116.445 33.0856
20767 -116.449 33.0877
20768 -116.458 33.0883
20037 -116.705 33.0933
20036 -116.702 33.0958
21018 -116.87 32.7117
new_group 45
20915 -116.077 32.6729
20916 -116.072 32.6753
20925 -116.069 32.6987
20917 -116.065 32.6844
20719 -116.065 32.7568
20927 -116.064 32.7167
20926 -116.063 32.7055
20928 -116.062 32.7192
20929 -116.057 32.7214
20718 -116.055 32.7544
20918 -116.046 32.7156
20801 -116.04 32.7206
20717 -116.027 32.7438
20716 -116.02 32.7426
20786 -116.014 32.7268
20876 -116.004 32.7227
20877 -115.997 32.7212
20715 -115.996 32.7418
20787 -115.991 32.7342
20714 -115.989 32.7344
20878 -115.985 32.7222
20879 -115.976 32.7244
20713 -115.966 32.7406
20880 -115.962 32.7224
20712 -115.955 32.7451
20630 -115.954 32.7454
20631 -115.942 32.7536
20881 -115.942 32.7157
20882 -115.936 32.7115
20883 -115.927 32.6894
20884 -115.918 32.6813
20885 -115.906 32.6793
20886 -115.899 32.679
20629 -115.893 32.7532
20632 -115.886 32.7854
20887 -115.886 32.6662
20633 -115.879 32.7881
20888 -115.87 32.664
20634 -115.86 32.7883
20635 -115.848 32.7925
20636 -115.845 32.7931
20628 -115.827 32.7631
20889 -115.827 32.6701
20627 -115.808 32.7677
20626 -115.803 32.7678
new_group 82
20447 -116.495 32.8275
20725 -116.179 32.8307
20726 -116.191 32.8349
20446 -116.498 32.8351
20445 -116.497 32.8424
20443 -116.49 32.8431
20404 -116.547 32.8433
20442 -116.487 32.8444
20444 -116.495 32.8447
20403 -116.551 32.8454
20441 -116.486 32.8458
20402 -116.559 32.8476
20401 -116.567 32.8488
20432 -116.431 32.8502
20431 -116.425 32.8506
20440 -116.48 32.8508
20400 -116.57 32.8509
20435 -116.444 32.8512
20727 -116.207 32.8516
20436 -116.45 32.8517
20399 -116.574 32.8521
20439 -116.477 32.853
20434 -116.442 32.8532
20438 -116.466 32.8539
20433 -116.437 32.8543
20437 -116.454 32.8625
20430 -116.413 32.864
20728 -116.209 32.8738
20429 -116.418 32.8743
20428 -116.427 32.8817
20298 -116.577 32.8822
20299 -116.576 32.8856
20427 -116.445 32.8892
20729 -116.229 32.8924
20426 -116.452 32.8943
20425 -116.462 32.9075
20730 -116.235 32.9085
20301 -116.575 32.9094
20731 -116.251 32.9192
20424 -116.476 32.922
20732 -116.256 32.9265
20302 -116.564 32.927
20423 -116.481 32.9307
20733 -116.263 32.9317
20734 -116.269 32.9338
20303 -116.564 32.9361
20422 -116.488 32.9372
20735 -116.283 32.9433
20304 -116.569 32.9437
20421 -116.499 32.9444
20305 -116.573 32.9449
20306 -116.577 32.9477
20736 -116.288 32.9477
20420 -116.503 32.9497
20737 -116.298 32.9524
20738 -116.312 32.9665
20739 -116.319 32.9688
20740 -116.34 32.9699
20419 -116.517 32.9734
20741 -116.35 32.9737
20418 -116.527 32.9808
20417 -116.531 32.9909
20314 -116.576 32.9942
20416 -116.537 32.996
20415 -116.546 32.9997
20315 -116.568 33.004
20414 -116.557 33.0131
20742 -116.36 32.9733
20743 -116.375 32.9716
20744 -116.387 32.9662
20745 -116.398 32.9665
20746 -116.41 32.9712
20747 -116.417 32.9759
20748 -116.425 32.9764
20749 -116.432 32.9751
20750 -116.441 32.9788
20751 -116.454 32.9791
20752 -116.457 32.9828
20753 -116.455 32.9915
20754 -116.459 33.0023
20755 -116.46 33.0064
20756 -116.457 33.0106
new_group 108
20535 -115.332 32.7748
20489 -115.326 32.8083
20486 -115.325 32.9704
20485 -115.322 32.952
20483 -115.313 32.8268
20484 -115.312 32.9502
20482 -115.312 32.8124
20488 -115.311 32.7973
20481 -115.305 32.8124
20538 -115.303 32.7745
20480 -115.303 32.7937
20539 -115.302 32.7813
20540 -115.297 32.7744
20527 -115.284 32.7762
20590 -114.651 32.8981
20589 -114.65 32.8876
20591 -114.645 32.9122
20592 -114.645 32.915
20588 -114.644 32.8661
20587 -114.644 32.8489
20586 -114.642 32.8383
20593 -114.64 32.9194
20597 -114.636 32.981
20595 -114.636 32.9631
20596 -114.635 32.9737
20598 -114.633 32.9924
20594 -114.631 32.9486
20585 -114.621 32.8106
20583 -114.616 32.7855
20582 -114.614 32.751
20584 -114.612 32.798
20601 -114.604 32.7508
20602 -114.601 32.753
20603 -114.599 32.7754
20604 -114.597 32.7777
20605 -114.591 32.7791
20606 -114.559 32.7802
20607 -114.555 32.786
20608 -114.547 32.793
20609 -114.546 32.7959
20610 -114.545 32.8147
20611 -114.521 32.816
20612 -114.497 32.83
20614 -114.492 32.851
20613 -114.491 32.8354
20615 -114.491 32.8556
20616 -114.487 32.86
20617 -114.47 32.8718
20618 -114.461 32.8694
20648 -114.747 32.7413
20649 -114.747 32.7518
20650 -114.749 32.7608
20651 -114.762 32.7797
20652 -114.769 32.7966
20653 -114.78 32.8057
20654 -114.787 32.8102
20655 -114.806 32.8146
20656 -114.824 32.8154
20657 -114.828 32.8194
20658 -114.837 32.9223
20659 -114.847 32.9253
20660 -114.858 32.9278
20661 -114.871 32.935
20662 -114.881 32.9439
20663 -114.884 32.9497
20664 -114.891 32.9727
20774 -114.616 32.733
20775 -114.614 32.7412
20776 -114.624 32.7364
20777 -114.655 32.7387
20778 -114.665 32.7405
20779 -114.679 32.7454
20780 -114.688 32.7482
20781 -114.7 32.7487
20782 -114.734 32.74
20799 -114.611 32.7308
20800 -114.604 32.7226
20807 -115.095 32.7086
20808 -115.157 32.7289
20809 -115.179 32.7358
20810 -115.229 32.7521
20811 -115.233 32.7528
20812 -115.264 32.7655
20813 -115.283 32.7748
20814 -115 32.7078
20815 -115.067 32.7086
20816 -115.085 32.709
20821 -114.762 32.7423
20822 -114.792 32.7517
20823 -114.822 32.7585
20824 -114.834 32.7588
20825 -114.85 32.7543
20826 -114.855 32.7524
20827 -114.863 32.7475
20828 -114.876 32.7377
20829 -114.882 32.7344
20830 -114.889 32.7297
20831 -114.897 32.7255
20832 -114.906 32.7189
20833 -114.912 32.7172
20834 -114.922 32.7139
20835 -114.939 32.7097
20836 -114.953 32.7081
20837 -114.975 32.7075
20843 -115.107 32.7064
20844 -115.162 32.7075
20845 -115.248 32.7102
20846 -115.299 32.6901
new_group 59
21029 -117.078 32.5724
21030 -117.081 32.5751
21028 -117.12 32.5778
21027 -117.121 32.5792
21031 -117.087 32.584
21032 -117.089 32.5889
20975 -117.123 32.5937
20974 -117.037 32.5977
20976 -117.129 32.6084
21033 -117.09 32.6161
20973 -117.052 32.6202
20977 -117.138 32.6311
20972 -117.069 32.6461
20936 -117.099 32.6538
20935 -117.1 32.6587
20971 -117.076 32.6645
20934 -117.104 32.6739
20970 -117.082 32.6839
20933 -117.099 32.6852
20842 -117.138 32.6909
20932 -117.105 32.6918
20841 -117.131 32.6959
20931 -117.121 32.7005
20838 -117.124 32.7018
20840 -117.134 32.7055
20969 -117.092 32.706
20839 -117.12 32.706
21019 -116.875 32.7151
20818 -117.129 32.7159
21020 -116.881 32.717
20819 -117.113 32.7196
20802 -117.111 32.72
21021 -116.888 32.7202
20968 -117.095 32.7224
20791 -117.095 32.7234
21024 -116.912 32.7246
21025 -116.927 32.7263
20803 -117.109 32.7268
20792 -117.075 32.7275
21022 -116.894 32.7276
21023 -116.907 32.7276
21026 -116.939 32.7298
20798 -117.1 32.7347
20709 -116.945 32.7358
20672 -117.104 32.7379
21034 -117.098 32.6404
21035 -117.087 32.5705
21036 -117.089 32.5702
21037 -117.117 32.5717
21038 -117.109 32.5682
21039 -117.096 32.5686
21040 -117.037 32.5821
21041 -117.039 32.5631
21042 -117.041 32.5537
21043 -117.042 32.5502
21044 -117.044 32.5469
21045 -117.056 32.5535
21046 -117.068 32.5625
21047 -117.035 32.5413
new_group 88
20462 -115.623 33.0027
20161 -115.371 33.0076
20160 -115.369 33.0158
20461 -115.617 33.0175
20214 -115.607 33.0236
20115 -115.707 33.0358
20098 -115.617 33.0359
20114 -115.711 33.0395
20113 -115.723 33.0557
20155 -115.45 33.0561
20112 -115.733 33.0609
20154 -115.449 33.063
20152 -115.523 33.064
20099 -115.617 33.0689
20111 -115.74 33.0695
20100 -115.615 33.0716
20151 -115.524 33.0736
20110 -115.746 33.0753
20150 -115.523 33.078
20109 -115.757 33.0784
20101 -115.614 33.0881
20149 -115.514 33.0904
20108 -115.779 33.0914
20159 -115.372 33.1005
20158 -115.387 33.1017
20102 -115.614 33.1154
20157 -115.388 33.1241
19919 -115.451 33.1245
20103 -115.613 33.1245
19918 -115.514 33.1247
19917 -115.514 33.1289
19916 -115.516 33.1338
19915 -115.517 33.1405
20175 -115.349 33.1932
20174 -115.369 33.2091
20173 -115.375 33.2129
20171 -115.404 33.2136
20172 -115.388 33.2138
20167 -115.459 33.2143
20170 -115.413 33.2146
20166 -115.473 33.2193
20169 -115.423 33.2196
20168 -115.436 33.2205
20165 -115.497 33.2305
19666 -115.519 33.2324
19684 -115.519 33.2379
19667 -115.504 33.2391
19668 -115.487 33.2399
19685 -115.522 33.2414
19669 -115.479 33.2439
19670 -115.475 33.2491
19671 -115.469 33.2612
19686 -115.563 33.2618
19672 -115.46 33.2668
19673 -115.435 33.273
19674 -115.424 33.2767
19693 -115.744 33.3547
19694 -115.752 33.3555
19692 -115.732 33.3562
19687 -115.642 33.3574
19691 -115.726 33.3582
19688 -115.655 33.3613
19695 -115.771 33.3661
19689 -115.69 33.3728
19690 -115.705 33.373
19696 -115.782 33.3731
19697 -115.784 33.3757
20491 -115.692 32.7932
20492 -115.681 32.7982
20493 -115.727 32.793
20494 -115.724 32.7922
20495 -115.715 32.7918
20530 -115.691 32.7756
20624 -115.714 32.7753
20625 -115.774 32.7732
20637 -115.73 32.7939
20856 -115.688 32.7341
20857 -115.68 32.7216
20858 -115.679 32.7113
20859 -115.672 32.7034
20860 -115.672 32.678
20861 -115.67 32.6766
20872 -115.641 32.6752
20873 -115.646 32.6749
20874 -115.668 32.6754
20890 -115.707 32.6741
20891 -115.689 32.6743
20892 -115.678 32.6705
new_group 94
20411 -116.572 32.8138
20410 -116.559 32.8113
20405 -116.533 32.8248
20406 -116.531 32.819
20407 -116.527 32.8158
20408 -116.522 32.8125
20409 -116.517 32.8063
20456 -116.513 32.8049
20454 -116.51 32.8057
20453 -116.51 32.8126
20455 -116.508 32.8022
20452 -116.508 32.821
20451 -116.507 32.8224
20450 -116.503 32.8228
20570 -116.499 32.792
20449 -116.499 32.8244
20448 -116.496 32.8257
20569 -116.495 32.7853
20568 -116.492 32.7697
20567 -116.491 32.7631
20566 -116.49 32.7615
20910 -116.481 32.7495
20909 -116.479 32.7279
20908 -116.476 32.7194
20907 -116.468 32.7159
20906 -116.461 32.7145
20905 -116.45 32.714
20904 -116.445 32.716
20903 -116.427 32.7211
20902 -116.418 32.7208
20901 -116.407 32.7175
20900 -116.398 32.7163
20899 -116.365 32.7135
20898 -116.337 32.7073
20951 -116.321 32.6606
20897 -116.32 32.7007
20950 -116.308 32.6667
20949 -116.302 32.6678
20896 -116.297 32.6822
20948 -116.292 32.667
20947 -116.287 32.6656
20946 -116.283 32.6635
20895 -116.277 32.6687
20945 -116.275 32.6613
20894 -116.275 32.6671
20893 -116.258 32.6631
20937 -116.213 32.6624
20938 -116.201 32.6584
20939 -116.174 32.6393
20940 -116.163 32.6348
20724 -116.152 32.818
20723 -116.142 32.8108
20941 -116.14 32.6348
20722 -116.137 32.8096
20721 -116.121 32.8035
20942 -116.116 32.641
20921 -116.108 32.6686
20920 -116.107 32.6664
20943 -116.106 32.6471
20922 -116.103 32.6748
20919 -116.102 32.6631
20923 -116.098 32.6774
20914 -116.097 32.6719
20913 -116.094 32.6604
20944 -116.093 32.6565
20720 -116.093 32.7784
20924 -116.085 32.6892
20952 -116.328 32.6589
20953 -116.342 32.6592
20954 -116.364 32.6447
20955 -116.373 32.6439
20956 -116.38 32.6474
20957 -116.4 32.6471
20958 -116.409 32.6412
20959 -116.426 32.6377
20960 -116.431 32.6315
20961 -116.435 32.6279
20962 -116.466 32.6282
20963 -116.471 32.6257
20964 -116.493 32.7496
20965 -116.497 32.7113
20966 -116.491 32.6907
20967 -116.487 32.6453
20979 -116.472 32.6252
20980 -116.474 32.622
20981 -116.469 32.6094
20982 -116.47 32.6039
20983 -116.479 32.6008
20984 -116.487 32.5937
20985 -116.501 32.5924
20986 -116.509 32.584
20987 -116.522 32.5839
20988 -116.529 32.5926
20989 -116.554 32.5965
new_group 54
20211 -116.975 32.9779
20082 -116.975 33.092
20257 -116.972 32.9728
20207 -116.972 32.9911
20258 -116.97 32.9581
20259 -116.964 32.9487
20081 -116.964 33.0936
20080 -116.958 33.0931
20206 -116.955 32.9966
20260 -116.954 32.9368
20079 -116.954 33.0903
20078 -116.949 33.0876
20261 -116.948 32.9257
20205 -116.947 33.0073
20262 -116.946 32.91
20077 -116.943 33.088
20204 -116.94 33.008
20076 -116.933 33.0838
20263 -116.932 32.8905
20203 -116.93 33.0059
20075 -116.923 33.0826
20202 -116.919 33.0054
20074 -116.917 33.0812
20354 -116.912 32.8502
20073 -116.912 33.0817
20353 -116.91 32.8475
20072 -116.906 33.0837
20071 -116.904 33.0727
20201 -116.904 33.0122
20352 -116.893 32.833
20381 -116.889 32.8371
20124 -116.887 33.0231
20121 -116.887 33.0236
20122 -116.884 33.0284
20070 -116.879 33.0641
20123 -116.876 33.0373
19936 -116.682 33.1314
19935 -116.68 33.1231
19934 -116.674 33.1085
19997 -116.669 33.1074
19998 -116.668 33.0996
19999 -116.667 33.098
20000 -116.666 33.0977
20001 -116.665 33.0986
20002 -116.664 33.1043
20035 -116.689 33.1039
20554 -116.974 32.7866
20555 -116.959 32.791
20556 -116.945 32.7925
20557 -116.935 32.7945
20558 -116.924 32.8071
20559 -116.914 32.8182
20388 -116.906 32.824
20389 -116.909 32.8217
new_group 68
20279 -117.227 32.8856
20274 -117.236 32.887
20280 -117.226 32.8899
20264 -117.134 32.8942
20273 -117.239 32.9014
20281 -117.225 32.9023
20282 -117.224 32.9055
20272 -117.241 32.9065
20237 -117.224 32.908
20238 -117.233 32.9195
20271 -117.251 32.9212
20270 -117.253 32.9254
20269 -117.254 32.9293
20239 -117.237 32.9298
20268 -117.254 32.935
20267 -117.257 32.9428
20232 -117.26 32.9555
20229 -117.261 32.9657
20223 -117.262 32.9682
20197 -117.252 32.9801
20196 -117.223 32.9814
20222 -117.265 32.9885
20198 -117.256 33.0045
20199 -117.257 33.0087
20200 -117.265 33.0174
20146 -117.233 33.0197
20120 -117.274 33.0254
20119 -117.275 33.0266
20145 -117.235 33.0316
20118 -117.276 33.036
20144 -117.251 33.0435
20142 -117.264 33.0435
20094 -117.266 33.0436
20093 -117.27 33.0438
20143 -117.26 33.0444
20066 -117.275 33.0457
20065 -117.276 33.046
20026 -117.281 33.0591
20024 -117.281 33.0599
20025 -117.285 33.0696
19996 -117.289 33.0768
19994 -117.291 33.0793
19995 -117.307 33.1128
19887 -117.329 33.1452
19886 -117.33 33.1487
19885 -117.332 33.1507
19884 -117.337 33.155
19883 -117.343 33.1581
19847 -117.354 33.1616
19846 -117.361 33.1708
19845 -117.361 33.1738
19841 -117.338 33.1805
19840 -117.333 33.1807
19838 -117.317 33.1808
19839 -117.323 33.1813
19844 -117.358 33.1821
19831 -117.325 33.1822
19830 -117.343 33.1828
19829 -117.344 33.1835
19836 -117.293 33.1835
19837 -117.301 33.1835
19843 -117.224 33.1836
19835 -117.281 33.186
19827 -117.328 33.1876
19828 -117.35 33.1885
19825 -117.329 33.1891
19822 -117.357 33.191
20265 -117.171 32.8779
new_group 62
20994 -116.667 32.5908
20993 -116.658 32.591
20992 -116.651 32.5928
20995 -116.675 32.5938
20990 -116.597 32.5981
20996 -116.687 32.6012
20991 -116.629 32.6034
20997 -116.702 32.6057
20998 -116.708 32.6098
20999 -116.726 32.6122
21000 -116.746 32.6219
20682 -116.694 32.7639
20680 -116.674 32.7641
20683 -116.699 32.7642
20681 -116.69 32.7662
20679 -116.67 32.7739
20684 -116.708 32.7748
20697 -116.869 32.7806
20685 -116.721 32.7833
20695 -116.848 32.7844
20696 -116.86 32.7849
20678 -116.663 32.786
20694 -116.833 32.7894
20677 -116.659 32.7903
20686 -116.735 32.791
20687 -116.744 32.7922
20676 -116.645 32.7983
20688 -116.75 32.7998
20693 -116.818 32.8003
20689 -116.754 32.8014
20690 -116.777 32.8029
20692 -116.807 32.8049
20691 -116.792 32.8059
20412 -116.608 32.8207
20363 -116.626 32.8275
20369 -116.733 32.8295
20368 -116.725 32.8303
20370 -116.754 32.8323
20373 -116.776 32.8359
20371 -116.762 32.8365
20372 -116.769 32.837
20364 -116.652 32.8377
20365 -116.683 32.8379
20367 -116.703 32.8382
20374 -116.786 32.8387
21001 -116.761 32.6211
21002 -116.763 32.6252
21003 -116.762 32.6312
21004 -116.766 32.6362
21005 -116.773 32.6397
21006 -116.781 32.64
21007 -116.787 32.6414
21008 -116.796 32.6474
21009 -116.805 32.6474
21010 -116.815 32.6612
21011 -116.821 32.6681
21012 -116.833 32.6724
21013 -116.837 32.6739
21014 -116.844 32.6824
21015 -116.855 32.6871
21016 -116.86 32.6924
21017 -116.866 32.6995
new_group 67
19834 -117.27 33.1912
19826 -117.341 33.1924
19833 -117.266 33.1939
19832 -117.26 33.1953
19762 -117.25 33.1989
19757 -117.234 33.1994
19761 -117.244 33.2006
19821 -117.348 33.205
19758 -117.238 33.2051
19759 -117.238 33.2083
19760 -117.23 33.2122
19720 -117.346 33.2132
19711 -117.346 33.2137
19710 -117.229 33.2163
19712 -117.345 33.2166
19707 -117.228 33.2191
19714 -117.31 33.2285
19713 -117.328 33.2285
19715 -117.307 33.2297
19716 -117.299 33.2388
19717 -117.279 33.2477
19708 -117.234 33.2486
19719 -117.247 33.2496
19709 -117.238 33.2528
19665 -117.24 33.2532
19718 -117.257 33.2532
19664 -117.242 33.2541
19663 -117.242 33.2633
19662 -117.239 33.2702
19661 -117.231 33.2784
19607 -117.227 33.2965
19608 -117.232 33.3091
19609 -117.237 33.3126
19610 -117.238 33.3312
19611 -117.247 33.3474
19549 -117.252 33.3662
19547 -117.252 33.3667
19548 -117.249 33.3816
19529 -117.226 33.3894
19530 -117.229 33.3896
19225 -117.244 33.5829
19226 -117.274 33.6063
19227 -117.281 33.6141
19228 -117.286 33.6228
19291 -117.271 33.6324
19229 -117.287 33.6355
19230 -117.289 33.6428
19290 -117.28 33.6441
19289 -117.285 33.6523
19231 -117.3 33.6524
19288 -117.289 33.6568
19287 -117.29 33.6587
19286 -117.292 33.6594
19232 -117.314 33.6609
18974 -117.32 33.6616
18970 -117.326 33.667
19285 -117.302 33.6689
18971 -117.331 33.6712
18951 -117.344 33.6757
18946 -117.346 33.6765
18947 -117.349 33.6792
19284 -117.314 33.681
18948 -117.358 33.6836
18932 -117.362 33.6843
18893 -117.335 33.6971
18908 -117.342 33.7026
18894 -117.323 33.7081
new_group 93
20463 -115.623 32.9624
20464 -115.622 32.9165
20465 -115.621 32.9103
20466 -115.621 32.8198
20460 -115.62 32.7981
20526 -115.62 32.7764
20213 -115.575 32.9765
20292 -115.574 32.8842
20293 -115.573 32.8601
20294 -115.573 32.8574
20391 -115.572 32.8165
20291 -115.572 32.9147
20332 -115.571 32.8424
20330 -115.571 32.8431
20459 -115.571 32.7981
20331 -115.571 32.8502
20458 -115.571 32.8006
20457 -115.571 32.802
20290 -115.571 32.9452
20289 -115.562 32.9482
20496 -115.556 32.7917
20515 -115.554 32.7796
20528 -115.554 32.7784
20532 -115.553 32.7749
20529 -115.553 32.776
20544 -115.552 32.7716
20534 -115.552 32.7748
20288 -115.551 32.9537
20533 -115.551 32.7749
20212 -115.549 32.9756
20228 -115.543 32.9661
20498 -115.537 32.7908
20217 -115.535 32.9736
20191 -115.525 32.9833
20190 -115.523 32.9879
20153 -115.522 33.0009
20216 -115.518 32.9745
20497 -115.515 32.7932
20338 -115.51 32.8417
20337 -115.509 32.8554
20336 -115.508 32.9732
20215 -115.506 32.9744
20472 -115.5 32.7938
20531 -115.5 32.7755
20473 -115.481 32.7963
20220 -115.464 32.9743
20474 -115.462 32.7994
20219 -115.456 32.9708
20156 -115.449 32.9998
20218 -115.448 32.9707
20536 -115.448 32.7765
20236 -115.447 32.9174
20475 -115.412 32.7991
20329 -115.41 32.8432
20221 -115.409 32.9705
20328 -115.408 32.9117
20476 -115.401 32.8014
20477 -115.382 32.807
20163 -115.379 32.9991
20478 -115.378 32.809
20396 -115.378 32.8161
20479 -115.376 32.8097
20397 -115.373 32.8104
20487 -115.372 32.971
20162 -115.372 33.0008
20395 -115.37 32.813
20490 -115.335 32.8112
20619 -115.551 32.7488
20620 -115.62 32.7602
20621 -115.619 32.751
20622 -115.617 32.7496
20623 -115.61 32.7486
20665 -114.896 32.9965
20788 -115.499 32.7264
20789 -115.55 32.7261
20790 -115.52 32.7256
20847 -115.333 32.6898
20854 -115.498 32.6799
20855 -115.499 32.6767
20862 -115.498 32.6765
20863 -115.383 32.6899
20864 -115.401 32.6905
20865 -115.41 32.6892
20866 -115.454 32.6893
20867 -115.475 32.6752
20868 -115.483 32.6751
20869 -115.484 32.6751
20870 -115.504 32.6747
20871 -115.577 32.6745
20875 -115.483 32.6705
20911 -115.48 32.6618
20912 -115.48 32.6605
20930 -115.48 32.659
new_group 79
19931 -117.077 33.1368
19904 -117.162 33.1376
19903 -117.15 33.138
19902 -117.137 33.1401
19905 -117.178 33.1408
19889 -117.04 33.1424
19906 -117.187 33.145
19888 -117.036 33.146
19907 -117.192 33.1493
19882 -117.035 33.1508
19861 -117.094 33.152
19937 -116.68 33.1536
19853 -117.099 33.1563
19938 -116.679 33.16
19854 -117.101 33.1705
19908 -117.213 33.1711
19842 -117.217 33.1739
19881 -117.029 33.1749
19880 -117.029 33.1795
19879 -117.032 33.1832
19855 -117.107 33.1843
19878 -117.034 33.1868
19877 -117.031 33.1912
19856 -117.114 33.1976
19876 -117.032 33.1983
19875 -117.037 33.2198
19874 -117.038 33.2242
19871 -117.016 33.2251
19869 -116.988 33.2268
19868 -116.973 33.2274
19870 -116.994 33.2275
19873 -117.038 33.2286
19867 -116.97 33.23
19872 -117.026 33.231
19866 -116.969 33.2373
19857 -117.148 33.2481
19865 -116.964 33.2519
19864 -116.962 33.2529
19863 -116.957 33.2597
19858 -117.149 33.2602
19862 -116.954 33.27
19859 -117.147 33.276
19637 -116.964 33.2875
19636 -116.957 33.2884
19800 -116.949 33.2897
19638 -116.971 33.2919
19803 -116.92 33.2967
19639 -116.98 33.3013
19801 -116.932 33.302
19802 -116.925 33.3027
19606 -117.212 33.3068
19605 -117.2 33.3123
19604 -117.183 33.3157
19603 -117.176 33.3189
